Name,Synset State,Custom?,Leaf?,Definition,Parents,Children,Tasks,Direct Categories,Direct Objects,Total Objects,Requiring Task Count,Action,Done,Category,Label,Arg,Actual Object,Notes
belt.n.02,Not Ready,FALSE,TRUE,a band to tie or buckle around the body (usually at the waist),"accessory.n.01,",,"buy_a_belt-0,                         clean_a_leather_belt-0,                         tidying_up_wardrobe-0,",,0,0,3,BUY,1,,,3D 3ds Max belt leather bukel (turbosquid.com),,
bicycle_chain.n.01,Not Ready,FALSE,TRUE,a chain that transmits the power from the pedals to the rear wheel of a bicycle,"chain.n.03,",,"lube_a_bicycle_chain-0,",,0,0,1,BUY,1,,,max bike chain (turbosquid.com),,
bicycle_rack.n.01,Not Ready,FALSE,TRUE,a rack for parking bicycles,"rack.n.01,",,"hang_a_bike_on_the_wall-0,                         unpacking_recreational_vehicle_for_trip-0,",,0,0,2,BUY,1,,,3D Single Cycle Stand Black model - TurboSquid 1943713,,need postprocessing (combine 2 into 1)
bird_feed__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"filling_the_bird_feeder-0,                         putting_birdseed_in_cage-0,",,0,0,2,GENERATE,,bird_feed_bag,BIRD FEED,gunnysack.n.01,endfho,
bleaching_agent__atomizer.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_a_loofah_or_natural_sponge-0,                         clean_a_sauna-0,                         clean_decking-0,                         clean_outdoor_tiles-0,                         clean_stucco-0,                         clean_your_house_after_a_wild_party-0,                         clean_your_laundry_room-0,",,0,0,7,GENERATE,,bleaching_agent_atomizer,BLEACHING AGENT,atomizer.n.01,asztxi,
board.n.02,Not Ready,FALSE,TRUE,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,"lumber.n.01,",,"clean_decking-0,",,0,0,1,BUY,1,,,3d model wood board (turbosquid.com),,
bok_choy.n.02,Not Ready,FALSE,TRUE,elongated head of dark green leaves on thick white stalks,"cabbage.n.01,",,"clean_bok_choy-0,                         cook_bok_choy-0,                         sorting_potatoes-0,                         sorting_vegetables-0,",,0,0,4,BUY,1,,,Choy model - TurboSquid 1544467,,not max file
bottle__of__analgesics.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"make_a_military_care_package-0,",,0,0,1,REPLACE,,,,bottle__of__medicine.n.01,,
bottle__of__brandy.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"stock_a_bar_cart-0,","bottle_of_brandy,",0,0,1,REPLACE,,,,bottle__of__whiskey.n.01,,
box__of__gum.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"prepare_an_emergency_school_kit-0,",,0,0,1,REPLACE,,,,box__of__candy.n.01,,
bread_slice.n.01,Not Ready,TRUE,TRUE,,"bread.n.01,",,"cooking_lunch-0,                         make_a_sandwich-0,                         make_toast-0,",,0,0,3,NONE,,,,,,
broken__glass.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"clean_up_broken_glass-0,",,0,0,1,BUY,1,,,broken beer bottle 3 3d model (turbosquid.com),,
broken__light_bulb.n.01,Not Ready,TRUE,TRUE,,"electric_lamp.n.01,",,"changing_bulbs-0,                         changing_light_bulbs-0,                         remove_a_broken_light_bulb-0,",,0,0,3,BUY,1,,,light bulb max (turbosquid.com),,need postprocessing (remove wire)
brown_bread.n.02,Not Ready,FALSE,TRUE,dark steamed bread made of cornmeal wheat and flour with molasses and soda and milk or water,"bread.n.01,",,"delivering_groceries_to_doorstep-0,",,0,0,1,REPLACE,,,,bread_slice.n.01,,
brown_rice__sack.n.01,Not Ready,TRUE,TRUE,,"bag.n.01,",,"cook_rice-0,",,0,0,1,GENERATE,,brown_rice_sack,BROWN RICE,gunnysack.n.01,endfho,
brown_sugar__sack.n.01,Not Ready,TRUE,TRUE,,"bag.n.01,",,"make_a_sugar_and_coffee_scrub-0,                         make_edible_chocolate_chip_cookie_dough-0,                         make_jamaican_jerk_seasoning-0,                         make_meatloaf-0,",,0,0,4,GENERATE,,brown_sugar_sack,BROWN SUGAR,gunnysack.n.01,endfho,
bust.n.03,Not Ready,FALSE,TRUE,a sculpture of the head and shoulders of a person,"sculpture.n.01,",,"setting_up_silent_auction-0,",,0,0,1,NONE,,,,,,
butter__package.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_a_cheese_pastry-0,                         make_chocolate_spread-0,                         make_cookies-0,                         make_dinner_rolls-0,                         make_pastry-0,",,0,0,5,GENERATE,,butter_package,BUTTER,mason_jar.n.01,kijnrj,
can.n.01,Not Ready,FALSE,TRUE,airtight sealed metal container for food or drink or paint etc.,"container.n.01,",,"buy_food_for_camping-0,                         can_beans-0,                         sorting_bottles_cans_and_paper-0,",,0,0,3,BUY,1,,,"Metal 3D model - TurboSquid 1391854
https://www.turbosquid.com/3d-models/rectangular-tin-can-3d-model-1824407",,
can__of__cat_food.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"stock_grocery_shelves-0,",,0,0,1,BUY,1,,,3D Pet food tins set - TurboSquid 1749884,,
can__of__dog_food.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"buy_dog_food-0,                         buy_pet_food_for_less-0,",,0,0,2,NONE,,,,,,
infant_car_seat.n.01,Not Ready,FALSE,TRUE,a seat in a car,"seat.n.04,",,"wash_an_infant_car_seat-0,",,0,0,1,BUY,1,,,Realistic baby car seat model - TurboSquid 1246321,,
car_wheel.n.01,Not Ready,FALSE,TRUE,a wheel that has a tire and rim and hubcap; used to propel the car,"wheel.n.01,",,"clean_black_rims-0,",,0,0,1,BUY,1,,,Free 3D car tire - TurboSquid 1239665,,
cat_food__tin.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"putting_out_cat_food-0,",,0,0,1,NONE,,,,,,
catsup__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_meatloaf-0,",,0,0,1,GENERATE,,catsup_bottle,CATSUP,squeeze_bottle.n.01,uzmhdn,
cayenne__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_jamaican_jerk_seasoning-0,                         prepare_and_cook_swiss_chard-0,",,0,0,2,GENERATE,,cayenne_shaker,CAYENNE,shaker.n.03,nbjgci,
cement.n.01,Not Ready,FALSE,TRUE,concrete pavement is sometimes referred to as cement,"concrete.n.01,",,"clean_cement-0,",,0,0,1,BUY,1,,,3D Concrete Block model - TurboSquid 2028007,,
cereal_box.n.01,Not Ready,FALSE,TRUE,a paper box in which breakfast cereals are sold,"box.n.01,",,"putting_shopping_away-0,",,0,0,1,REPLACE,,,,box__of__cereal.n.01,,
chalice.n.01,Not Ready,FALSE,TRUE,a bowl-shaped drinking vessel; especially the Eucharistic cup,"cup.n.01,",,"cleaning_cups_in_living_room-0,                         cleaning_glasses_off_bar-0,                         pour_a_glass_of_wine-0,                         prepare_a_slow_dinner_party-0,",,0,0,4,REPLACE,,,,wineglass.n.01,,
cheddar.n.02,Not Ready,FALSE,TRUE,hard smooth-textured cheese; originally made in Cheddar in southwestern England,"cheese.n.01,",,"prepare_wine_and_cheese-0,                         preparing_food_for_a_fundraiser-0,                         serving_hors_d_oeuvres-0,",,0,0,3,REPLACE,,,,feta.n.01,,
cheese_pastry.n.01,Not Ready,TRUE,TRUE,,"pastry.n.02,",,"make_a_cheese_pastry-0,",,0,0,1,REPLACE,,,,cheese_tart.n.01,,
chia_seed__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_a_chia_breakfast_bowl-0,                         make_a_tropical_breakfast-0,",,0,0,2,GENERATE,,chia_seed_bag,CHIA SEED,gunnysack.n.01,endfho,
chicken_broth__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"cook_chicken-0,                         cook_ham_hocks-0,                         make_soup-0,                         make_tomato_rice-0,                         prepare_quinoa-0,",,0,0,5,GENERATE,,chicken_broth_carton,CHICKEN BROTH,jug.n.01,quzmfw,
chicken_soup__carton.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"heating_soup-0,",,0,0,1,GENERATE,,chicken_soup_carton,CHICKEN SOUP,jug.n.01,quzmfw,
chickpea__can.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_a_salad-0,",,0,0,1,GENERATE,,chickpea_can,CHICKPEA,mason_jar.n.01,kijnrj,
chlorine__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"adding_chemicals_to_hot_tub-0,                         chlorinating_the_pool-0,",,0,0,2,GENERATE,,chlorine_bottle,CHLORINE,cleansing__bottle.n.01,ovjhuf,
chocolate_sauce__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_milkshake-0,",,0,0,1,GENERATE,,chocolate_sauce_bottle,CHOCOLATE SAUCE,squeeze_bottle.n.01,uzmhdn,
chopping_block.n.01,Not Ready,FALSE,TRUE,a steady wooden block on which food can be cut or diced or wood can be split,"block.n.01,",,"chopping_wood-0,                         clean_wooden_blocks-0,",,0,0,2,ACTION,1,,,,,generate from chopping board
cinnamon__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_applesauce-0,                         make_cinnamon_sugar-0,                         make_cinnamon_toast-0,                         make_cookies-0,                         make_eggnog-0,                         make_granola-0,                         make_oatmeal-0,                         make_pumpkin_pie_spice-0,",,0,0,8,GENERATE,,cinnamon_shaker,CINNAMON,shaker.n.03,nbjgci,
clam.n.03,Not Ready,FALSE,TRUE,flesh of either hard-shell or soft-shell clams,"shellfish.n.01,",,"clean_clams-0,                         cook_clams-0,                         cook_seafood_paella-0,                         make_seafood_stew-0,",,0,0,4,ACTION,1,,,,,https://www.turbosquid.com/3d-models/clam-seashell-2-3d-max/797840
clipper.n.04,Not Ready,FALSE,TRUE,scissors for cutting hair or finger nails (often used in the plural),"scissors.n.01,",,"disinfect_nail_clippers-0,",,0,0,1,BUY,1,,,3D fingernail clipper closed | 1148733 | TurboSquid,,
clove__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_pumpkin_pie_spice-0,",,0,0,1,GENERATE,,clove_jar,CLOVE,mason_jar.n.01,kijnrj,
cocoa__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_brownies-0,                         make_chocolate_biscuits-0,                         make_chocolate_milk-0,                         make_chocolate_spread-0,                         make_chocolate_syrup-0,                         make_hot_cocoa-0,",,0,0,6,GENERATE,,cocoa_box,COCOA,mason_jar.n.01,kijnrj,
cocoa_powder__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_iced_chocolate-0,",,0,0,1,GENERATE,,cocoa_powder_box,COCOA POWDER,mason_jar.n.01,kijnrj,
coconut_oil__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_sugar_and_coffee_scrub-0,",,0,0,1,GENERATE,,coconut_oil_jar,COCONUT OIL,mason_jar.n.01,kijnrj,
coffee_bean__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"brewing_coffee-0,                         make_coffee-0,                         making_coffee-0,",,0,0,3,GENERATE,,coffee_bean_jar,COFFEE BEAN,mason_jar.n.01,kijnrj,
cola__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"mixing_drinks-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-drink-glass-bottle-model-1540170,,
conch.n.01,Not Ready,FALSE,TRUE,any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer lip,"gastropod.n.01,",,"clean_conch_shells-0,",,0,0,1,BUY,1,,,conch shell 3d model (turbosquid.com),,
conditioner__atomizer.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_fur-0,                         clean_leather_sandals-0,",,0,0,2,GENERATE,,conditioner_atomizer,CONDITIONER,atomizer.n.01,asztxi,change insource
cooking_oil__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"cook_kabobs-0,                         cooking_food_for_adult-0,                         fry_pot_stickers-0,                         make_a_wiener_schnitzle-0,                         make_chicken_and_waffles-0,                         make_chicken_curry-0,                         make_fish_and_chips-0,                         make_microwave_popcorn-0,                         make_muffins-0,                         make_onion_ring_batter-0,                       ...",,0,0,11,GENERATE,,cooking_oil_bottle,COOKING OIL,oil__bottle.n.01,yoxfyu,
copper_pot.n.01,Not Ready,TRUE,TRUE,,"pot.n.01,",,"polish_copper-0,",,0,0,1,BUY,1,,,Copper turkish coffee pot 3D model - TurboSquid 1472268,,
coriander__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_kabobs-0,",,0,0,1,GENERATE,,coriander_shaker,CORIANDER,shaker.n.03,nbjgci,
cork.n.04,Not Ready,FALSE,TRUE,the plug in the mouth of a bottle (especially a wine bottle),"plug.n.01,",,"bottling_wine-0,",,0,0,1,NONE,,,,,,
cornbread.n.01,Not Ready,FALSE,TRUE,bread made primarily of cornmeal,"quick_bread.n.01,",,"preparing_food_for_a_fundraiser-0,",,0,0,1,REPLACE,,,,bread_slice.n.01,,
cornstarch__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_copper_wire-0,                         make_cake_filling-0,",,0,0,2,GENERATE,,cornstarch_jar,CORNSTARCH,mason_jar.n.01,kijnrj,
cotton.n.02,Not Ready,FALSE,TRUE,fabric woven from cotton fibers,"fabric.n.01,",,"clean_marker_off_a_doll-0,",,0,0,1,REPLACE,,,,sponge.n.01,,
cream__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"make_cream_soda-0,                         make_white_wine_sauce-0,",,0,0,2,GENERATE,,cream_carton,CREAM,mason_jar.n.01,kijnrj,
cream_cheese__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_macaroni_and_cheese-0,",,0,0,1,GENERATE,,cream_cheese_box,CREAM CHEESE,mason_jar.n.01,kijnrj,
cream_of_tartar__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_blueberry_mousse-0,",,0,0,1,GENERATE,,cream_of_tartar_shaker,CREAM OF TARTAR,shaker.n.03,nbjgci,
cumin__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_chicken_fajitas-0,                         make_mustard_herb_and_spice_seasoning-0,",,0,0,2,GENERATE,,cumin_shaker,CUMIN,shaker.n.03,nbjgci,
cup_holder.n.01,Not Ready,TRUE,TRUE,,"holder.n.01,",,"clean_cup_holders-0,",,0,0,1,BUY,1,,,3D Coffee Cup Holder - TurboSquid 2060992,,
curry_powder__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_chicken_curry-0,                         make_curry_rice-0,",,0,0,2,GENERATE,,curry_powder_shaker,CURRY POWDER,shaker.n.03,nbjgci,
daffodil_bulb.n.01,Not Ready,TRUE,TRUE,,"bulb.n.01,",,"store_daffodil_bulbs-0,",,0,0,1,BUY,1,,,max narcissus daffodil jonquil (turbosquid.com),,
deodorant__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"sorting_household_items-0,                         tidying_bathroom-0,",,0,0,2,GENERATE,,deodorant_atomizer,DEODORANT,atomizer.n.01,buxqkr,
detergent__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"clean_a_toaster_oven-0,",,0,0,1,GENERATE,,detergent_atomizer,DETERGENT,atomizer.n.01,asztxi,
detergent__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_a_backpack-0,                         clean_a_chicken_coop-0,                         clean_a_dirty_tent-0,                         clean_a_faucet-0,                         clean_a_gravestone-0,                         clean_a_hamper-0,                         clean_a_mattress-0,                         clean_a_quilt-0,                         clean_a_raincoat-0,                         clean_a_sauna_suit-0,                       ...",,0,0,57,GENERATE,,detergent_bottle,DETERGENT,cleansing__bottle.n.01,ovjhuf,
disinfectant__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"adding_chemicals_to_pool-0,                         clean_a_baseball_glove-0,                         clean_a_beer_keg-0,                         clean_a_birdcage-0,                         clean_a_camera_lens-0,                         clean_a_dirty_baseball-0,                         clean_a_flat_iron-0,                         clean_a_garden_sprayer-0,                         clean_a_vacuum-0,                         clean_an_air_filter-0,                       ...",,0,0,24,GENERATE,,disinfectant_bottle,DISINFECTANT,cleansing__bottle.n.01,ovjhuf,
dog_collar.n.01,Not Ready,FALSE,TRUE,a collar for a dog,"collar.n.06,",,"clean_dog_collars-0,",,0,0,1,BUY,1,,,3D dog collar model - TurboSquid 1222852,,
dog_food__can.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"putting_out_dog_food-0,",,0,0,1,NONE,,,,,,
doily.n.01,Not Ready,FALSE,TRUE,a small round piece of linen placed under a dish or bowl,"linen.n.03,",,"store_vintage_linens-0,",,0,0,1,BUY,1,,,White paper lace doily 3D model - TurboSquid 1253362,,
dustcloth.n.01,Not Ready,FALSE,TRUE,a piece of cloth used for dusting,"piece_of_cloth.n.01,",,"buying_cleaning_supplies-0,                         clean_a_flat_panel_monitor-0,                         clean_paper_lampshades-0,                         clean_piano_keys-0,                         clean_your_cleaning_supplies-0,                         cleaning_tools_and_equipment-0,                         setting_up_living_room_for_guest-0,",,0,0,7,REPLACE,,,,rag.n.01,,
edible_cookie_dough.n.01,Not Ready,TRUE,TRUE,,"dough.n.01,",,"make_edible_chocolate_chip_cookie_dough-0,",,0,0,1,ACTION,1,,,,,generate from dough
emery_paper.n.01,Not Ready,FALSE,TRUE,stiff paper coated with powdered emery or sand,"abrasive.n.01,",,"clean_the_bottom_of_an_iron-0,                         clean_your_rusty_garden_tools-0,                         remove_scorch_marks-0,                         repairs_to_furniture-0,                         sanding_wood_furniture-0,",,0,0,5,BUY,1,,,3d model sandpaper (turbosquid.com),,
fabric_softener__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"adding_fabric_softener-0,",,0,0,1,GENERATE,,fabric_softener_bottle,FABRIC SOFTENER,cleansing__bottle.n.01,ovjhuf,
fertilizer__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"adding_chemicals_to_lawn-0,                         buying_gardening_supplies-0,                         fertilize_a_lawn-0,                         fertilizing_garden-0,                         make_a_small_vegetable_garden-0,",,0,0,5,GENERATE,,fertilizer_atomizer,FERTILIZER,atomizer.n.01,asztxi,
feta__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_eggplant-0,                         prepare_make_ahead_breakfast_bowls-0,",,0,0,2,GENERATE,,feta_box,FETA,mason_jar.n.01,kijnrj,
flagpole.n.02,Not Ready,FALSE,TRUE,a tall staff or pole on which a flag is raised,"staff.n.02,",,"hanging_flags-0,",,0,0,1,BUY,1,,,3D Detailed White Flag Banner - TurboSquid 2061441,,need postprocessing to remove flag
floor_wax__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"waxing_floors-0,",,0,0,1,GENERATE,,floor_wax_bottle,FLOOR WAX,cleansing__bottle.n.01,ovjhuf,
flour__sack.n.01,Not Ready,TRUE,TRUE,,"bag.n.01,",,"baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         grease_and_flour_a_pan-0,                         make_a_cheese_pastry-0,                         make_a_wiener_schnitzle-0,                         make_bagels-0,                         make_batter-0,                         make_biscuits-0,                         make_brownies-0,                         make_cake_mix-0,                       ...",,0,0,21,GENERATE,,flour_sack,FLOUR,gunnysack.n.01,endfho,
foil.n.01,Not Ready,FALSE,FALSE,a piece of thin and flexible sheet metal,"sheet_metal.n.01,","aluminum_foil.n.01,","glaze_a_ham-0,",,0,0,1,REPLACE,,,,aluminum_foil.n.01,,
frosting__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"ice_cookies-0,",,0,0,1,GENERATE,,frosting_jar,FROSTING,mason_jar.n.01,kijnrj,
fur_coat.n.01,Not Ready,FALSE,TRUE,a coat made of fur,"coat.n.01,",,"clean_fur-0,                         store_a_fur_coat-0,",,0,0,2,BUY,1,,,sheepskin coat 3d max (turbosquid.com),,
gelatin.n.02,Not Ready,FALSE,TRUE,an edible jelly (sweet or pungent) made with gelatin and used as a dessert or salad base or a coating for foods,"dainty.n.01,",,"make_blueberry_mousse-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-gelatinous-cube-1371398,,
gelatin__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_blueberry_mousse-0,",,0,0,1,GENERATE,,gelatin_box,GELATIN,mason_jar.n.01,kijnrj,
ginger__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_pumpkin_pie_spice-0,",,0,0,1,GENERATE,,ginger_shaker,GINGER,shaker.n.03,nbjgci,
glaze__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"cook_a_ham-0,",,0,0,1,GENERATE,,glaze_bottle,GLAZE,squeeze_bottle.n.01,uzmhdn,
gourd.n.02,Not Ready,FALSE,TRUE,any of numerous inedible fruits with hard rinds,"fruit.n.01,",,"clean_gourds-0,",,0,0,1,BUY,1,,,Snake gourd 02 3D model - TurboSquid 1921973,,
granola__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_a_chia_breakfast_bowl-0,",,0,0,1,GENERATE,,granola_box,GRANOLA,mason_jar.n.01,kijnrj,
granulated_sugar__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_strawberries_and_cream-0,",,0,0,1,GENERATE,,granulated_sugar_jar,GRANULATED SUGAR,mason_jar.n.01,kijnrj,
granulated_sugar__sack.n.01,Not Ready,TRUE,TRUE,,"bag.n.01,",,"make_a_mojito-0,                         make_baked_pears-0,                         make_dessert_watermelons-0,                         making_a_drink-0,                         preserving_fruit-0,                         roast_nuts-0,",,0,0,6,GENERATE,,granulated_sugar_sack,GRANULATED SUGAR,gunnysack.n.01,endfho,
grated_cheese__sack.n.01,Not Ready,TRUE,TRUE,,"bag.n.01,",,"make_burrito_bowls-0,",,0,0,1,GENERATE,,grated_cheese_sack,GRATED CHEESE,gunnysack.n.01,endfho,
ground_beef__package.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_a_red_meat_sauce-0,                         make_meatloaf-0,",,0,0,2,GENERATE,,ground_beef_package,GROUND BEEF,gunnysack.n.01,endfho,
hair_spray__can.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"tidying_bathroom-0,",,0,0,1,REPLACE,,,,bottle__of__shampoo.n.01,,
half__apple_pie.n.01,Not Ready,TRUE,TRUE,,"pie.n.01,",,"clearing_food_from_table_into_fridge-0,",,0,0,1,ACTION,,,,,,generate from apple pie
half__bell_pepper.n.01,Not Ready,TRUE,TRUE,,"sweet_pepper.n.02,",,"filling_pepper-0,                         roast_vegetables-0,",,0,0,2,BUY,1,,,https://www.turbosquid.com/3d-models/red-pepper-slice-3d-max/1139452,,
half__eggplant.n.01,Not Ready,TRUE,TRUE,,"solanaceous_vegetable.n.01,",,"cook_eggplant-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/aubergine-model-1963853,,
half__feta.n.01,Not Ready,TRUE,TRUE,,"cheese.n.01,",,"prepare_make_ahead_breakfast_bowls-0,",,0,0,1,ACTION,,,,,,generate from feta
