activity_name,scene0,scene1,scene2,quality_checked,currently_assigned,alltime_assigned,upworker,mistakes,stats
buy a keg,grocery_store_asian,grocery_store_cafe,grocery_store_convenience,1,0,1,Adriel,0,
buy a microwave oven,grocery_store_asian,grocery_store_cafe,grocery_store_convenience,1,1,1,Iqbal,0,
buy alcohol,grocery_store_asian,grocery_store_cafe,grocery_store_convenience,1,0,1,Adriel,0,
buy and clean mussels,Rs_int,restaurant_hotel,Pomaria_1_int,1,0,1,Tess,0,
buy basic garden tools,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Adriel,0,
buy boxes for packing,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Adriel,0,
buy candle making supplies,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Adriel,0,
buy dog food,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Adriel,0,
buy eggs,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Adriel,0,
buy fish,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Adriel,0,
buy food for a party,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy food for camping,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy food for vegetarians,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy good chocolate,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy home use medical supplies,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy meat from a butcher,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy mulch,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy natural beef,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy natural supplements,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy pet food for less,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy rechargeable batteries,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy salad greens,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy school supplies,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy school supplies for high school,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buy used gardening equipment,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buying cleaning supplies,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buying everyday consumer goods,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buying fast food,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buying gardening supplies,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buying groceries,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Kristin,0,
buying groceries for a feast,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Johanna,0,
buying office supplies,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Johanna,0,
buying postage stamps,grocery_store_convenience,grocery_store_half_stocked,grocery_store_asian,1,0,1,Johanna,0,
can beans,Beechwood_0_garden,house_single_floor,Wainscott_0_int,1,0,1,Elizabeth,0,
can fruit,Beechwood_0_garden,house_single_floor,Wainscott_0_int,1,0,1,Elizabeth,0,
can meat,restaurant_urban,restaurant_cafeteria,house_single_floor,1,0,1,Elizabeth,0,
can syrup,Wainscott_0_garden,Rs_int,restaurant_hotel,1,0,1,Elizabeth,0,
can vegetables,restaurant_cafeteria,house_double_floor_lower,Rs_garden,1,0,1,Elizabeth,0,
canning food,Wainscott_0_int,restaurant_asian,restaurant_hotel,1,0,1,Elizabeth,0,
carrying in groceries,Wainscott_0_garden,Rs_garden,house_double_floor_lower,1,0,1,Elizabeth,0,
carrying out garden furniture,Pomaria_0_garden,Rs_garden,Wainscott_0_garden,1,0,1,Elizabeth,0,
carrying water,house_single_floor,Wainscott_0_garden,,1,0,1,Elizabeth,0,
changing bulbs,house_single_floor,Wainscott_0_garden,,1,0,1,Elizabeth,0,
changing dog's water,Merom_0_garden,Merom_0_int,Wainscott_1_int,1,0,1,Elizabeth,0,
changing light bulbs,house_single_floor,Wainscott_0_garden,,1,0,1,Kristin,0,
changing sheets,Rs_garden,Wainscott_0_garden,house_single_floor,1,0,1,Elizabeth,0,
chlorinating the pool,hotel_gym_spa,house_single_floor,Pomaria_0_garden,1,0,1,Elizabeth,0,
chop an onion,house_double_floor_lower,restaurant_asian,restaurant_urban,1,0,1,Elizabeth,0,
chopping wood,Pomaria_0_garden,Merom_0_garden,house_double_floor_lower,1,0,1,Adriel,0,
clean a air conditioner,restaurant_cafeteria,,,1,0,1,Elizabeth,0,
clean a backpack,house_single_floor,Wainscott_1_int,Merom_0_int,1,0,1,Kristin,0,
clean a baking stone,house_double_floor_lower,house_single_floor,grocery_store_cafe,1,0,1,Adriel,0,
clean a baseball glove,house_double_floor_lower,Beechwood_0_garden,Merom_0_garden,1,0,1,Johanna,0,
clean a beer keg,Rs_garden,Rs_int,Pomaria_1_int,1,0,1,Johanna,0,
clean a bicycle chain,Wainscott_1_int,Beechwood_0_garden,Pomaria_1_int,1,0,1,Johanna,0,
clean a birdcage,Beechwood_0_int,Wainscott_1_int,Pomaria_1_int,1,0,1,Johanna,0,
clean a blender,house_double_floor_lower,,,1,0,1,Johanna,0,
clean a book,Rs_int,Pomaria_1_int,Merom_0_int,1,0,1,Johanna,0,
clean a bowling ball,Beechwood_0_int,Wainscott_1_int,Pomaria_1_int,1,0,1,Johanna,0,
clean a box fan,Wainscott_0_int,Ihlen_1_int,Beechwood_1_int,1,0,1,Johanna,0,
clean a broiler pan,restaurant_asian,restaurant_brunch,restaurant_hotel,1,0,1,Adriel,0,
clean a camera lens,Beechwood_0_int,Beechwood_0_garden,house_single_floor,1,0,1,Johanna,0,
clean a candle jar,Wainscott_0_int,Merom_1_int,Rs_int,1,0,1,Johanna,0,
clean a chicken coop,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Adriel,0,
clean a coffee maker,grocery_store_cafe,Wainscott_0_garden,Wainscott_0_int,1,0,1,Adriel,0,
clean a company office,office_bike,office_large,,1,0,1,Johanna,0,
clean a computer monitor,office_bike,office_vendor_machine,school_computer_lab_and_infirmary,1,0,1,Johanna,0,
clean a couch,house_double_floor_lower,Merom_0_garden,Beechwood_0_garden,1,0,1,Johanna,0,
clean a crab,restaurant_brunch,Rs_garden,restaurant_cafeteria,1,0,1,Johanna,0,
clean a dirty baseball,school_gym,Rs_garden,Merom_0_garden,1,0,1,Johanna,0,
clean a dirty tent,house_double_floor_lower,Pomaria_0_garden,Beechwood_0_int,1,0,1,Adriel,0,
clean a drain,Pomaria_1_int,restaurant_asian,restaurant_brunch,1,0,1,Adriel,0,
clean a faucet,restaurant_diner,restaurant_urban,Wainscott_0_int,1,0,1,Adriel,0,
clean a felt pool table top,Wainscott_1_int,,,1,0,1,Kristin,0,
clean a fence,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Adriel,0,
clean a fish,house_double_floor_lower,Benevolence_1_int,Beechwood_0_int,1,0,1,Adriel,0,
clean a flat iron,house_single_floor,,,1,0,1,Johanna,0,
clean a flat panel monitor,office_large,office_vendor_machine,office_cubicles_right,1,0,1,Johanna,0,
clean a garden sprayer,Wainscott_0_garden,Rs_garden,Merom_0_garden,1,0,1,Kristin,0,
clean a glass pipe,school_geography,school_chemistry,school_biology,1,0,1,Kristin,0,
clean a glass windshield,house_double_floor_lower,Merom_0_garden,Wainscott_0_garden,1,0,1,Adriel,0,
clean a golf club,Wainscott_1_int,Pomaria_1_int,Beechwood_0_garden,1,0,1,Adriel,0,
clean a gravestone,house_double_floor_lower,Ihlen_0_int,,1,0,1,Adriel,0,
clean a grill pan,Pomaria_0_garden,Merom_0_garden,Rs_garden,1,0,1,Adriel,0,
clean a guitar,house_double_floor_lower,Benevolence_1_int,Beechwood_0_int,1,0,1,Adriel,0,
clean a hamper,Wainscott_1_int,Pomaria_1_int,house_single_floor,1,0,1,Adriel,0,
clean a hat,Beechwood_0_int,Wainscott_1_int,house_single_floor,1,0,1,Adriel,0,
clean a hot water dispenser,Wainscott_0_int,Merom_1_int,Beechwood_0_int,1,0,1,Adriel,0,
clean a keyboard,office_cubicles_right,office_large,school_computer_lab_and_infirmary,1,0,1,Adriel,0,
clean a kitchen sink,Wainscott_0_int,Rs_garden,restaurant_asian,1,0,1,Adriel,0,
clean a kitchen table,restaurant_urban,house_single_floor,house_double_floor_lower,1,0,1,Areeba,0,
clean a knife,house_double_floor_lower,house_double_floor_lower,restaurant_brunch,1,0,1,Areeba,0,
clean a knife block,house_double_floor_lower,Ihlen_1_int,house_single_floor,1,0,1,Areeba,0,
clean a leather belt,Beechwood_0_garden,house_single_floor,Pomaria_1_int,1,0,1,Areeba,0,
clean a LED screen,office_cubicles_left,office_cubicles_right,school_computer_lab_and_infirmary,1,0,1,Adriel,0,
clean a light bulb,Wainscott_1_int,Pomaria_1_int,house_single_floor,1,0,1,Adriel,0,
clean a lobster,restaurant_cafeteria,restaurant_diner,restaurant_asian,1,0,1,Areeba,0,
clean a longboard,Beechwood_0_garden,Merom_0_garden,Rs_garden,1,0,1,Areeba,0,
clean a loofah or natural sponge,Wainscott_0_int,restaurant_urban,restaurant_brunch,1,0,1,Adriel,0,
clean a mattress,house_single_floor,house_double_floor_lower,Merom_0_int,1,0,1,Adriel,0,
clean a mousepad,Wainscott_1_int,Pomaria_1_int,house_single_floor,1,0,1,Adriel,0,
clean a patio,house_single_floor,Pomaria_0_garden,Beechwood_0_garden,1,0,1,Adriel,0,
clean a piano,Beechwood_0_garden,Beechwood_0_int,,1,0,1,Adriel,0,
clean a pickup truck,Merom_0_garden,Pomaria_0_garden,Wainscott_0_garden,1,0,1,Adriel,0,
clean a pizza stone,Wainscott_0_int,restaurant_hotel,Benevolence_1_int,1,0,1,Adriel,0,
clean a popcorn machine,Wainscott_0_garden,Wainscott_0_int,restaurant_cafeteria,1,0,1,Adriel,0,
clean a pumpkin,Wainscott_1_int,house_single_floor,Beechwood_0_garden,1,0,1,Adriel,0,
clean a purse,Wainscott_1_int,house_single_floor,Beechwood_0_int,1,0,1,Adriel,0,
clean a quilt,Wainscott_1_int,house_single_floor,Beechwood_0_garden,1,0,1,Adriel,0,
clean a raincoat,house_single_floor,Pomaria_1_int,Beechwood_0_garden,1,0,1,Adriel,0,
clean a razor blade,Wainscott_0_int,restaurant_urban,Merom_1_int,1,0,1,Adriel,0,
clean a rice cooker,Wainscott_0_int,Rs_int,restaurant_asian,1,0,1,Adriel,0,
clean a rug,Rs_int,Pomaria_2_int,Merom_0_int,1,0,1,Adriel,0,
clean a sauna,hotel_gym_spa,,,1,0,1,Adriel,0,
clean a sauna suit,Beechwood_0_int,house_single_floor,Pomaria_1_int,1,0,1,Adriel,0,
clean a saxophone,Rs_int,Beechwood_1_int,house_double_floor_upper,1,0,1,Deidra,0,
clean a shower,Wainscott_1_int,hotel_suite_small,Beechwood_1_int,1,0,1,Adriel,0,
clean a sieve,Rs_garden,Ihlen_1_int,Benevolence_1_int,1,0,1,Deidra,0,
clean a small pet cage,Beechwood_0_int,Benevolence_2_int,Rs_int,1,0,1,Deidra,0,
clean a sofa,Rs_garden,Ihlen_1_int,Benevolence_1_int,1,0,1,Adriel,0,
clean a softball bat,Beechwood_1_int,Beechwood_0_garden,Beechwood_0_int,1,0,1,Deidra,0,
clean a sponge,house_single_floor,restaurant_asian,restaurant_hotel,1,0,1,Deidra,0,
clean a stainless steel dishwasher,Pomaria_1_int,Beechwood_0_int,Ihlen_1_int,1,0,1,Adriel,0,
clean a suitcase,Wainscott_1_int,office_large,Pomaria_1_int,1,0,1,Deidra,0,
clean a teddy bear,house_single_floor,house_double_floor_lower,Benevolence_2_int,1,0,1,Deidra,0,
clean a tie,Beechwood_0_garden,Merom_0_garden,house_single_floor,1,0,1,Deidra,0,
clean a toaster,house_double_floor_lower,Wainscott_0_garden,restaurant_urban,1,0,1,Deidra,0,
clean a toaster oven,house_double_floor_lower,Wainscott_0_garden,restaurant_urban,1,0,1,Johanna,0,
clean a trombone,house_double_floor_lower,Rs_garden,Wainscott_0_garden,1,0,1,Deidra,0,
clean a trumpet,house_double_floor_lower,Rs_garden,Wainscott_0_garden,1,0,1,Deidra,0,
clean a turkey,house_double_floor_lower,Wainscott_0_garden,restaurant_urban,1,0,1,Deidra,0,
clean a vacuum,house_single_floor,office_cubicles_left,restaurant_asian,1,0,1,Johanna,0,
clean a violin,Rs_int,Merom_0_int,house_double_floor_lower,1,0,1,Deidra,0,
clean a watch,Beechwood_0_garden,Ihlen_1_int,Merom_1_int,1,0,1,Deidra,0,
clean a whiteboard,school_biology,school_chemistry,school_geography,1,0,1,Deidra,0,
clean a wood pipe,Beechwood_0_garden,house_single_floor,Benevolence_2_int,1,0,1,Areeba,0,
clean an air filter,house_double_floor_lower,Beechwood_0_int,Pomaria_1_int,1,0,1,Johanna,0,
clean an electric kettle,house_double_floor_lower,Ihlen_1_int,Pomaria_1_int,1,0,1,Areeba,0,
clean an electric razor,house_single_floor,hotel_suite_small,hotel_suite_large,1,0,1,Areeba,0,
clean an eraser,school_geography,school_chemistry,school_biology,1,0,1,Areeba,0,
clean an espresso machine,Wainscott_0_garden,Wainscott_0_int,grocery_store_convenience,1,0,1,Johanna,0,
clean an iron,house_single_floor,,,1,0,1,Areeba,0,
clean an office chair,office_large,office_bike,office_cubicles_left,1,0,1,Areeba,0,
clean and disinfect ice trays,house_single_floor,restaurant_diner,restaurant_urban,1,0,1,Areeba,0,
clean apples,house_single_floor,grocery_store_convenience,grocery_store_cafe,1,0,1,Areeba,0,
clean baby toys,Wainscott_0_int,Rs_garden,Pomaria_2_int,1,0,1,Areeba,0,
clean baking sheets,house_single_floor,restaurant_cafeteria,restaurant_brunch,1,0,1,Areeba,0,
clean batting gloves,Beechwood_0_int,Merom_0_garden,Wainscott_1_int,1,0,1,Areeba,0,
clean black rims,house_double_floor_lower,Wainscott_0_garden,Merom_0_garden,1,0,1,Areeba,0,
clean bok choy,restaurant_diner,restaurant_hotel,restaurant_asian,1,0,1,Areeba,0,
clean boxing gloves,Merom_0_garden,Beechwood_0_int,Beechwood_0_garden,1,0,1,Areeba,0,
clean brass,Rs_int,house_double_floor_lower,Merom_0_garden,1,0,1,Areeba,0,
clean brass casings,Wainscott_0_garden,Ihlen_0_int,Merom_1_int,1,0,1,Areeba,0,
clean broccoli rabe,grocery_store_cafe,restaurant_urban,house_single_floor,1,0,1,Areeba,0,
clean brooms,Wainscott_0_garden,house_single_floor,Ihlen_1_int,1,0,1,Areeba,0,
clean cabbage,restaurant_urban,restaurant_cafeteria,restaurant_asian,1,0,1,Areeba,0,
clean carpets,Beechwood_1_int,Merom_0_garden,Merom_0_int,1,0,1,Johanna,0,
clean cement,Wainscott_0_garden,Merom_0_garden,Beechwood_0_garden,1,0,1,Johanna,0,
clean clams,restaurant_cafeteria,restaurant_hotel,restaurant_asian,1,0,1,Areeba,0,
clean clear plastic,Rs_garden,school_chemistry,house_double_floor_lower,1,0,1,Elizabeth,0,
clean conch shells,Benevolence_1_int,Ihlen_1_int,house_double_floor_lower,1,0,1,Elizabeth,0,
clean copper mugs,restaurant_hotel,restaurant_hotel,house_single_floor,1,0,1,Elizabeth,0,
clean copper wire,Rs_garden,Beechwood_1_int,Merom_0_int,1,0,1,Elizabeth,0,
clean cork mats,Wainscott_1_int,house_double_floor_upper,hotel_suite_small,1,0,1,Elizabeth,0,
clean couch pillows,house_single_floor,Beechwood_0_int,Merom_0_garden,1,0,1,Johanna,0,
clean cup holders,house_double_floor_lower,Ihlen_0_int,school_chemistry,1,0,1,Elizabeth,0,
clean cups,Beechwood_0_garden,grocery_store_cafe,grocery_store_convenience,1,0,1,Johanna,0,
clean decking,Rs_garden,Merom_0_garden,Pomaria_0_garden,1,0,1,Johanna,0,
clean deer antlers,school_geography,Pomaria_1_int,house_single_floor,1,0,1,Elizabeth,0,
clean dentures,house_single_floor,Beechwood_0_int,Beechwood_0_garden,1,0,1,Elizabeth,0,
clean dentures with vinegar,house_single_floor,Beechwood_0_int,Beechwood_0_garden,1,0,1,Elizabeth,0,
clean dog collars,house_single_floor,Merom_1_int,house_double_floor_lower,1,0,1,Elizabeth,0,
clean eggs,Rs_int,restaurant_hotel,Wainscott_0_garden,1,0,1,Elizabeth,0,
clean fishing lures,house_single_floor,house_double_floor_upper,Benevolence_2_int,1,0,1,Elizabeth,0,
clean flip flops,Merom_1_int,Pomaria_0_garden,Wainscott_1_int,1,0,1,Elizabeth,0,
clean fur,Beechwood_0_garden,house_single_floor,Merom_0_int,1,0,1,Elizabeth,0,
clean garden gloves,Beechwood_0_garden,Benevolence_0_int,Pomaria_0_garden,1,0,1,Elizabeth,0,
clean gas logs,house_single_floor,,,1,0,1,Johanna,0,
clean geodes,school_geography,,,1,0,1,Johanna,0,
clean gold,school_geography,school_chemistry,,1,0,1,Johanna,0,
clean gourds,Rs_int,restaurant_urban,restaurant_brunch,1,0,1,Johanna,0,
clean grease,restaurant_asian,restaurant_cafeteria,house_single_floor,1,0,1,Johanna,0,
clean green beans,restaurant_asian,Pomaria_1_int,Ihlen_1_int,1,0,1,Johanna,0,
clean greens,house_single_floor,house_double_floor_lower,Beechwood_0_int,1,0,1,Johanna,0,
clean household cleaning tools,Merom_0_garden,Beechwood_0_int,Ihlen_0_int,1,0,1,Johanna,0,
clean invisalign,hotel_suite_large,house_single_floor,house_double_floor_lower,1,0,1,Johanna,0,
clean jade,school_geography,school_chemistry,,1,0,1,Johanna,0,
clean jewels,Ihlen_0_int,Ihlen_1_int,Pomaria_1_int,1,0,1,Johanna,0,
clean kale,house_single_floor,house_double_floor_lower,Beechwood_0_int,1,0,1,Johanna,0,
clean kitchen appliances,house_double_floor_lower,restaurant_asian,restaurant_brunch,1,0,1,Johanna,0,
clean leather boots,house_single_floor,house_double_floor_upper,Beechwood_1_int,1,0,1,Johanna,0,
clean leather sandals,Wainscott_0_garden,Rs_garden,house_single_floor,1,0,1,Johanna,0,
clean marker off a doll,Beechwood_0_garden,Beechwood_0_int,Wainscott_1_int,1,0,1,Johanna,0,
clean mirrors,Wainscott_0_int,restaurant_hotel,Merom_0_int,1,0,1,Johanna,0,
clean mushrooms,restaurant_urban,restaurant_hotel,restaurant_urban,1,0,1,Johanna,0,
clean mussels,Rs_int,restaurant_cafeteria,restaurant_urban,1,0,1,Johanna,0,
clean nickel,house_double_floor_lower,Beechwood_0_int,Beechwood_0_garden,1,0,1,Johanna,0,
clean out a guinea pigs hutch,Beechwood_1_int,Merom_0_garden,Merom_0_int,1,0,1,Johanna,0,
clean outdoor tiles,house_double_floor_lower,house_single_floor,Pomaria_0_garden,1,0,1,Johanna,0,
clean oysters,Pomaria_1_int,Merom_0_int,Merom_1_int,1,0,1,Johanna,0,
clean paper lampshades,Beechwood_0_int,house_single_floor,Pomaria_1_int,1,0,1,Johanna,0,
clean pearls,school_geography,Wainscott_0_garden,school_chemistry,1,0,1,Johanna,0,
clean pennies,school_geography,Wainscott_0_int,office_cubicles_left,1,0,1,Johanna,0,
clean piano keys,Beechwood_0_garden,Beechwood_0_int,,1,0,1,Deidra,0,
clean pine cones,Beechwood_0_int,Benevolence_2_int,Ihlen_1_int,1,0,1,Deidra,0,
clean place mats,hall_conference_large,,,1,0,1,Deidra,0,
clean plastic containers,house_single_floor,house_double_floor_lower,restaurant_brunch,1,0,1,Johanna,0,
clean potatoes,restaurant_asian,restaurant_hotel,restaurant_urban,1,0,1,Deidra,0,
clean pottery,house_single_floor,Pomaria_1_int,Wainscott_1_int,1,0,1,Deidra,0,
clean prawns,Beechwood_0_garden,Benevolence_1_int,Merom_1_int,1,0,1,Deidra,0,
clean quarters,house_double_floor_lower,Beechwood_0_int,Beechwood_0_garden,1,0,1,Deidra,0,
clean quartz,school_chemistry,school_geography,Beechwood_0_garden,1,0,1,Deidra,0,
clean raw denim,house_single_floor,Merom_0_int,Beechwood_0_int,1,0,1,Deidra,0,
clean reusable shopping bags,grocery_store_cafe,grocery_store_convenience,grocery_store_half_stocked,1,0,1,Johanna,0,
clean rubber,Wainscott_1_int,Merom_0_int,Pomaria_1_int,1,0,1,Deidra,0,
clean rubber bathmats,house_single_floor,Merom_1_int,Pomaria_2_int,1,0,1,Johanna,0,
clean scallops,Pomaria_1_int,restaurant_asian,restaurant_hotel,1,0,1,Deidra,0,
clean seashells,Ihlen_1_int,restaurant_cafeteria,house_single_floor,1,0,1,Deidra,0,
clean sheets,Pomaria_0_int,Wainscott_1_int,house_double_floor_upper,1,0,1,Johanna,0,
clean shrimp,house_double_floor_lower,restaurant_asian,restaurant_hotel,1,0,1,Deidra,0,
clean silver coins,school_geography,school_chemistry,house_single_floor,1,0,1,Deidra,0,
clean skateboard bearings,Benevolence_2_int,Beechwood_1_int,Wainscott_0_garden,1,0,1,Deidra,0,
clean snap peas,restaurant_urban,restaurant_asian,restaurant_hotel,1,0,1,Myra,0,
clean snow peas,restaurant_urban,restaurant_asian,restaurant_hotel,1,0,1,Myra,0,
clean soot from glass lanterns,Rs_garden,Beechwood_0_garden,Merom_0_garden,1,0,1,Myra,0,
clean stainless steel sinks,hall_glass_ceiling,grocery_store_half_stocked,Beechwood_0_int,1,0,1,Johanna,0,
clean strawberries,restaurant_asian,restaurant_urban,house_double_floor_lower,1,0,1,Myra,0,
clean stucco,Wainscott_0_garden,Rs_garden,Pomaria_0_garden,1,0,1,Myra,0,
clean suede gloves,Beechwood_0_int,house_single_floor,Merom_0_garden,1,0,1,Myra,0,
clean sunglasses,Beechwood_0_int,hotel_suite_large,house_single_floor,1,0,1,Myra,0,
clean synthetic hiking gear,Merom_0_garden,Wainscott_1_int,Beechwood_0_int,1,0,1,Myra,0,
clean tennis balls,Wainscott_0_garden,Benevolence_2_int,Beechwood_1_int,1,0,1,Myra,0,
clean the bottom of an iron,house_single_floor,,,1,0,1,Myra,0,
clean the exterior of your garage,Ihlen_0_int,house_double_floor_lower,,1,0,1,Areeba,0,
clean the interior of your car,house_double_floor_lower,Wainscott_0_garden,Pomaria_0_garden,1,0,1,Areeba,0,
clean the outside of a house,Wainscott_0_garden,Rs_garden,Pomaria_0_garden,1,0,1,Areeba,0,
clean tweed,Merom_0_garden,Beechwood_0_garden,Wainscott_1_int,1,0,1,Myra,0,
clean up after a dinner party,restaurant_asian,restaurant_cafeteria,restaurant_hotel,1,0,1,Areeba,0,
clean up broken glass,office_large,hall_conference_large,restaurant_hotel,1,0,1,Areeba,0,
clean up gasoline,Merom_0_garden,Pomaria_0_garden,Wainscott_0_garden,1,0,1,Areeba,0,
clean up spilled egg,grocery_store_asian,grocery_store_convenience,restaurant_urban,1,0,1,Areeba,0,
clean up water damage,Beechwood_1_int,Benevolence_2_int,house_double_floor_upper,1,0,1,Areeba,0,
clean up your desk,office_cubicles_left,,,1,0,1,Myra,0,
clean vans,house_single_floor,Merom_0_garden,Beechwood_0_garden,1,0,1,Myra,0,
clean vases,hotel_suite_large,house_single_floor,,1,0,1,Myra,0,
clean vintage stereo equipment,house_single_floor,house_double_floor_lower,Beechwood_0_int,1,0,1,Myra,0,
clean vinyl shutters,hotel_suite_large,house_single_floor,,1,0,1,Myra,0,
clean walls,Beechwood_1_int,Benevolence_2_int,house_double_floor_upper,1,0,1,Areeba,0,
clean whiskey stones,Rs_int,restaurant_hotel,Beechwood_0_int,1,0,1,Tess,0,
clean white marble,house_single_floor,hotel_suite_large,,1,0,1,Tess,0,
clean white wall tires,Pomaria_0_garden,Merom_0_garden,house_double_floor_lower,1,0,1,Tess,0,
clean wine glasses,restaurant_urban,,,1,0,1,Tess,0,
clean wood doors,Wainscott_0_int,restaurant_asian,office_cubicles_right,1,0,1,Areeba,0,
clean wood pallets,Wainscott_0_garden,Rs_garden,Pomaria_0_garden,1,0,1,Tess,0,
clean wood siding,Rs_garden,Pomaria_0_garden,house_single_floor,1,0,1,Areeba,0,
clean wooden blocks,Wainscott_0_garden,Pomaria_1_int,,1,0,1,Tess,0,
clean your baseboard radiators,Wainscott_1_int,Pomaria_1_int,house_single_floor,1,0,1,Areeba,0,
clean your cleaning supplies,Wainscott_1_int,Pomaria_1_int,house_single_floor,1,0,1,Areeba,0,
clean your electronics,hotel_suite_large,house_single_floor,,1,0,1,Tess,0,
clean your goal keeper gloves,Merom_0_garden,Merom_0_int,Beechwood_0_int,1,0,1,Tess,0,
clean your house after a wild party,Pomaria_1_int,Ihlen_1_int,Beechwood_0_int,1,0,1,Tess,0,
clean your kitty litter box,Wainscott_1_int,Beechwood_1_int,Merom_0_garden,1,0,1,Areeba,0,
clean your laundry room,Merom_0_int,house_single_floor,Beechwood_0_int,1,0,1,Areeba,0,
