"Task Name","Synsets","Matched Scenes","Predicates","Required Features"
"baking_sugar_cookies-0","baking_powder.n.01,                         baking_powder__jar.n.01,                         bowl.n.01,                         cookie_sheet.n.01,                         countertop.n.01,                         electric_mixer.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         flour.n.01,                         flour__sack.n.01,                         granulated_sugar.n.01,                         mason_jar.n.01,                         melted__butter.n.01,                         oven.n.01,                         raw_egg.n.01,                         salt.n.02,                         salt__shaker.n.01,                         sodium_carbonate.n.01,                         sodium_carbonate__jar.n.01,                         sugar__sack.n.01,                         sugar_cookie.n.01,                         tablespoon.n.02,                         vanilla.n.02,                         vanilla__bottle.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         insource,                         cooked,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"boil_water-0","cabinet.n.01,                         cooked__water.n.01,                         floor.n.01,                         kettle.n.01,                         sink.n.01,                         stove.n.01,                         water.n.06,","Merom_1_int,                                                                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         insource,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"boil_water_in_the_microwave-0","cabinet.n.01,                         cooked__water.n.01,                         floor.n.01,                         microwave.n.02,                         mug.n.04,                         sink.n.01,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                                                                                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,","future,                         real,                         insource,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bottling_wine-0","breakfast_table.n.01,                         bucket.n.01,                         cabinet.n.01,                         cork.n.04,                         countertop.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         red_wine.n.01,                         wine_bottle.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                                            restaurant_hotel,                                                    restaurant_urban,","filled,                         ontop,                         attached,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"boxing_books_up_for_storage-0","book.n.02,                         carton.n.02,                         floor.n.01,                         shelf.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                            Ihlen_0_int,                                                                            Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"boxing_food_after_dinner-0","breakfast_table.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         kabob.n.01,                         plate.n.04,                         tupperware.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                                            restaurant_hotel,                                                    restaurant_urban,","cooked,                         ontop,                         inside,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"brewing_coffee-0","coffee_bean.n.01,                         coffee_bean__jar.n.01,                         coffee_maker.n.01,                         countertop.n.01,                         drip_coffee.n.01,                         floor.n.01,                         mug.n.04,                         sink.n.01,                         tablespoon.n.02,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         insource,                         contains,                         filled,                         ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_glass_to_recycling-0","door.n.01,                         floor.n.01,                         recycling_bin.n.01,                         water_glass.n.02,","Beechwood_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                    Wainscott_0_garden,","ontop,                         inside,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_in_kindling-0","coffee_table.n.01,                         disinfectant.n.01,                         fireplace.n.01,                         firewood.n.01,                         floor.n.01,                         lawn.n.01,","house_single_floor,","ontop,                         nextto,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_in_mail-0","coffee_table.n.01,                         floor.n.01,                         lawn.n.01,                         mail.n.04,                         mailbox.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_in_wood-0","floor.n.01,                         plywood.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,","ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_laundry-0","floor.n.01,                         garment.n.01,                         hamper.n.02,                         stain.n.01,                         washer.n.03,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                    Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         inside,                         open,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_newspaper_in-0","coffee_table.n.01,                         driveway.n.01,                         floor.n.01,                         newspaper.n.03,","Beechwood_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_paper_to_recycling-0","floor.n.01,                         paper.n.01,                         recycling_bin.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                    Beechwood_1_int,                                                    Benevolence_0_int,                                                    Benevolence_1_int,                                                    Benevolence_2_int,                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                    Pomaria_1_int,                                                    Pomaria_2_int,                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                                                                    grocery_store_cafe,                                                    grocery_store_convenience,                                                    grocery_store_half_stocked,                                                    hall_arch_wood,                                                    hall_conference_large,                                                                            hall_train_station,                                                    hotel_gym_spa,                                                                                                    house_double_floor_lower,                                                                            house_single_floor,                                                                            office_cubicles_left,                                                    office_cubicles_right,                                                    office_large,                                                    office_vendor_machine,                                                    restaurant_asian,                                                                            restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,                                                    school_biology,                                                    school_chemistry,                                                    school_computer_lab_and_infirmary,                                                    school_geography,                                                    school_gym,","ontop,                         inside,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bringing_water-0","cabinet.n.01,                         floor.n.01,                         lawn.n.01,                         water_bottle.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"brushing_lint_off_clothing-0","bed.n.01,                         dust.n.01,                         floor.n.01,                         scrub_brush.n.01,                         sweater.n.01,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"buy_a_air_conditioner-0","air_conditioner.n.01,                         checkout.n.03,                         floor.n.01,                         money.n.01,                         shopping_cart.n.01,","grocery_store_cafe,                                                    grocery_store_convenience,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"buy_a_belt-0","belt.n.02,                         checkout.n.03,                         floor.n.01,                         money.n.01,                         shopping_basket.n.01,","grocery_store_asian,                                                    grocery_store_cafe,                                                    grocery_store_convenience,                                                    grocery_store_half_stocked,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"buy_a_good_avocado-0","avocado.n.01,                         checkout.n.03,                         floor.n.01,                         money.n.01,                         shopping_cart.n.01,","grocery_store_cafe,                                                    grocery_store_convenience,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"buy_a_keg-0","beer_barrel.n.01,                         checkout.n.03,                         credit_card.n.01,                         floor.n.01,                         shopping_cart.n.01,","grocery_store_cafe,                                                    grocery_store_convenience,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
