substance,synset,prune,hyperparam_source,hyperparams
bird_feed,bird_feed.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 1000.0}"
black_bean,black_bean.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 728.0}"
black_pepper,black_pepper.n.02,0,manual,"{""type"": ""granular"", ""particle_density"": 570.0}"
bleaching_agent,bleaching_agent.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1110.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0], ""specular_transmission_scattering_color"": [1.0, 1.0, 1.0]}}"
blueberry,blueberry.n.02,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 626.0}"
blueberry_compote,blueberry_compote.n.01,0,gpt,"{""type"": ""fluid"", ""particle_density"": 1300.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.2, 0.1, 0.6], ""diffuse_reflection_color"": [0.2, 0.1, 0.6], ""specular_transmission_scattering_color"": [0.2, 0.1, 0.6]}}"
blueberry_mousse,blueberry_mousse.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.025, ""particle_density"": 1000.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.83, 0.58, 0.89], ""diffuse_reflection_color"": [0.83, 0.58, 0.89]}}"
borax,borax.n.01,1,manual,"{""type"": ""granular"", ""particle_density"": 1730.0}"
bouillon,bouillon.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1000.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""ClearWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.8, 0.6, 0.2], ""diffuse_reflection_color"": [0.8, 0.6, 0.2], ""specular_transmission_scattering_color"": [0.8, 0.6, 0.2]}}"
bourbon,bourbon.n.02,1,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 940.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_scattering_depth"": 0.0, ""specular_transmission_color"": [1.0, 0.5, 0.0], ""specular_transmission_scattering_color"": [1.0, 0.5, 0.0]}}"
brandy,brandy.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 990.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""Honey"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.58, 0.29, 0.07], ""diffuse_reflection_color"": [0.58, 0.29, 0.07], ""specular_transmission_scattering_color"": [0.58, 0.29, 0.07]}}"
breadcrumb,breadcrumb.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 250.0}"
brown_rice,brown_rice.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 1452.0}"
brown_sugar,brown_sugar.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 1500.0}"
brownie_batter,brownie_batter.n.01,0,gpt,"{""type"": ""fluid"", ""particle_density"": 1200.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""PeanutButter"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.35, 0.2, 0.1], ""diffuse_reflection_color"": [0.35, 0.2, 0.1], ""specular_transmission_scattering_color"": [0.35, 0.2, 0.1]}}"
bunchgrass,bunchgrass.n.01,0,manual,"{""type"": ""granular"",  ""particle_density"": 900.0}"
butane,butane.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 2.48, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""Bubble"", ""customize_material_kwargs"": {""specular_transmission_color"": [1, 1, 1], ""diffuse_reflection_color"": [1, 1, 1], ""specular_transmission_scattering_color"": [1, 1, 1]}}"
buttermilk,buttermilk.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1030.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""specular_transmission_color"": [1, 0.98, 0.8], ""diffuse_reflection_color"": [1, 0.98, 0.8], ""specular_transmission_scattering_color"": [1, 0.98, 0.8]}}"
cafe_au_lait,cafe_au_lait.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1107.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.39, 0.27, 0.16], ""enable_diffuse_transmission"": false}}"
cake_mix,cake_mix.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 622.0}"
calcium_carbonate,calcium_carbonate.n.01,1,manual,"{""type"": ""granular"", ""particle_density"": 2710.0}"
cane_sugar,cane_sugar.n.02,0,manual,"{""type"": ""granular"", ""particle_density"": 812.0}"
canola_oil,canola_oil.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 920.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.8, 0.7, 0.1], ""diffuse_reflection_color"": [0.8, 0.7, 0.1], ""specular_transmission_scattering_color"": [0.8, 0.7, 0.1]}}"
cappuccino,cappuccino.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.5, ""specular_transmission_scattering_depth"": 0.0, ""specular_transmission_color"": [0.24, 0.16, 0.09], ""specular_transmission_scattering_color"": [0.24, 0.16, 0.09]}}"
caraway_seed,caraway_seed.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 609.0}"
carbon_black,carbon_black.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 1800.0}"
cardamom,cardamom.n.02,1,gpt,"{""type"": ""granular"", ""particle_density"": 550.0}"
carrot_juice,carrot_juice.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1030.0, ""is_viscous"": false, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.92, 0.39, 0.0], ""diffuse_reflection_color"": [0.92, 0.39, 0.0]}}"
cashew,cashew.n.02,0,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 641.0}"
cat_food,cat_food.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 350.0}"
catsup,catsup.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 383.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.64, 0.15, 0.08], ""diffuse_reflection_color"": [0.64, 0.15, 0.08]}}"
cayenne,cayenne.n.02,0,manual,"{""type"": ""granular"", ""particle_density"": 358.0}"
chaff,chaff.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 50.0}"
chalk,chalk.n.01,0,gpt,"{""type"": ""granular"", ""particle_density"": 2500.0}"
champagne,champagne.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.98, 0.85, 0.71], ""specular_transmission_scattering_color"": [1.0, 0.5, 0.0]}}"
charcoal,charcoal.n.01,0,gpt,"{""type"": ""granular"", ""particle_density"": 210.0}"
cheese_pastry_filling,cheese_pastry_filling.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.88, 0.84, 0.82], ""enable_diffuse_transmission"": false}}"
cheese_sauce,cheese_sauce.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.88, 0.84, 0.82], ""enable_diffuse_transmission"": false}}"
cherry_filling,cherry_filling.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.025, ""particle_density"": 1076.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.73, 0.0, 0.0], ""diffuse_reflection_color"": [0.73, 0.0, 0.0]}}"
chia_seed,chia_seed.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 1014.0}"
chicken_broth,chicken_broth.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1052.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.92, 0.82, 0.37], ""specular_transmission_scattering_color"": [0.61, 0.46, 0.07]}}"
chicken_curry,chicken_curry.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.02, ""particle_density"": 998.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.82, 0.73, 0.41], ""enable_diffuse_transmission"": false}}"
chicken_soup,chicken_soup.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1035.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.92, 0.82, 0.37], ""specular_transmission_scattering_color"": [0.61, 0.46, 0.07]}}"
chickpea,chickpea.n.03,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1370.0}"
chili_powder,chili_powder.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 1250.0}"
chlorine,chlorine.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1035.0, ""is_viscous"": false, ""material_mtl_name"": ""ClearWater"", ""customize_material_kwargs"": {}}"
chocolate_kiss,chocolate_kiss.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1894.0}"
chocolate_milk,chocolate_milk.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1250.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.4, 0.28, 0.25], ""enable_diffuse_transmission"": false}}"
chocolate_sauce,chocolate_sauce.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.017, ""particle_density"": 1325.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.11, 0.04, 0.02], ""enable_diffuse_transmission"": false}}"
chowder,chowder.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.02, ""particle_density"": 1065.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.96, 0.92, 0.86], ""enable_diffuse_transmission"": false}}"
cider,cider.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1000.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""ClearWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.8, 0.4, 0.1], ""diffuse_reflection_color"": [0.8, 0.4, 0.1], ""specular_transmission_scattering_color"": [0.8, 0.4, 0.1]}}"
cinnamon,cinnamon.n.03,0,manual,"{""type"": ""granular"", ""particle_density"": 528.0}"
cinnamon_sugar,cinnamon_sugar.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 812.0}"
clove,clove.n.04,0,manual,"{""type"": ""granular"", ""particle_density"": 1050.0}"
coal,coal.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 1500.0}"
coca_cola,coca_cola.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 610.0, ""is_viscous"": false, ""material_mtl_name"": ""ClearWater"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.5, ""specular_transmission_color"": [0.3, 0.22, 0.11], ""specular_transmission_scattering_color"": [0.3, 0.22, 0.11]}}"
cocoa,cocoa.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1057.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.33, 0.18, 0.11], ""enable_diffuse_transmission"": false}}"
cocoa_powder,cocoa_powder.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 364.0}"
coconut,coconut.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1000.0}"
coconut_milk,coconut_milk.n.01,1,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1030.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""enable_diffuse_transmission"": false}}"
coconut_oil,coconut_oil.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 915.0, ""is_viscous"": true, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0], ""specular_transmission_scattering_color"": [1.0, 1.0, 1.0], ""specular_reflection_ior_preset"": 18}}"
coffee_bean,coffee_bean.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 650.0}"
coffee_grounds,coffee_grounds.n.01,0,manual,"{""type"": ""macro_visual_particle"", ""relative_particle_scaling"": false}"
coloring,coloring.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1200.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [1, 0, 0], ""diffuse_reflection_color"": [1, 0, 0], ""specular_transmission_scattering_color"": [1, 0, 0]}}"
compost,compost.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 600.0}"
conchiglie,conchiglie.n.01,0,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 1500.0}"
conditioner,conditioner.n.03,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": true, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0], ""specular_transmission_scattering_color"": [1.0, 1.0, 1.0], ""specular_reflection_ior_preset"": 18}}"
cooked__allspice,cooked__allspice.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 405.0}"
cooked__almond,cooked__almond.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 615.0}"
cooked__almond_oil,cooked__almond_oil.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 910.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""Honey"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.93, 0.76, 0.52], ""diffuse_reflection_color"": [0.93, 0.76, 0.52], ""specular_transmission_scattering_color"": [0.93, 0.76, 0.52]}}"
cooked__arborio_rice,cooked__arborio_rice.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 750.0}"
cooked__barbecue_sauce,cooked__barbecue_sauce.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 1208.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.33, 0.13, 0.03], ""diffuse_reflection_color"": [0.33, 0.13, 0.03]}}"
cooked__barley,cooked__barley.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 600.0}"
cooked__beaten_egg,cooked__beaten_egg.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.02, ""particle_density"": 1027.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [1.0, 0.92, 0.71], ""enable_diffuse_transmission"": false}}"
cooked__beef_broth,cooked__beef_broth.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1052.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.3, ""specular_transmission_color"": [0.32, 0.2, 0.01]}}"
cooked__beef_stew,cooked__beef_stew.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1220.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.33, 0.1, 0.01], ""enable_diffuse_transmission"": false}}"
cooked__beer,cooked__beer.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.24, 0.16, 0.04], ""specular_transmission_scattering_color"": [0.6, 0.32, 0.02]}}"
cooked__black_bean,cooked__black_bean.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 728.0}"
cooked__black_pepper,cooked__black_pepper.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 570.0}"
cooked__blueberry,cooked__blueberry.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 626.0}"
cooked__blueberry_compote,cooked__blueberry_compote.n.01,0,gpt,"{""type"": ""fluid"", ""particle_density"": 1100.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.35, 0.1, 0.5], ""diffuse_reflection_color"": [0.35, 0.1, 0.5], ""specular_transmission_scattering_color"": [0.35, 0.1, 0.5]}}"
cooked__blueberry_mousse,cooked__blueberry_mousse.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.025, ""particle_density"": 1000.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.83, 0.58, 0.89], ""diffuse_reflection_color"": [0.83, 0.58, 0.89]}}"
cooked__bouillon,cooked__bouillon.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1000.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""SkimMilk"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.8, 0.6, 0.2], ""diffuse_reflection_color"": [0.8, 0.6, 0.2], ""specular_transmission_scattering_color"": [0.8, 0.6, 0.2]}}"
cooked__breadcrumb,cooked__breadcrumb.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 250.0}"
cooked__brown_rice,cooked__brown_rice.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 1452.0}"
cooked__brown_sugar,cooked__brown_sugar.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 1500.0}"
cooked__brownie_batter,cooked__brownie_batter.n.01,0,gpt,"{""type"": ""fluid"", ""particle_density"": 1000.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""PeanutButter"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.35, 0.2, 0.1], ""diffuse_reflection_color"": [0.35, 0.2, 0.1], ""specular_transmission_scattering_color"": [0.35, 0.2, 0.1]}}"
cooked__cafe_au_lait,cooked__cafe_au_lait.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1107.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.39, 0.27, 0.16], ""enable_diffuse_transmission"": false}}"
cooked__cake_mix,cooked__cake_mix.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 622.0}"
cooked__canola_oil,cooked__canola_oil.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 920.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.8, 0.7, 0.1], ""diffuse_reflection_color"": [0.8, 0.7, 0.1], ""specular_transmission_scattering_color"": [0.8, 0.7, 0.1]}}"
cooked__caraway_seed,cooked__caraway_seed.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 641.0}"
cooked__cardamom,cooked__cardamom.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 560.0}"
cooked__cashew,cooked__cashew.n.01,0,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 600.0}"
