Object,ID (auto),Explanation
zipper-doapdx,doapdx,? I don't see the object
snow_pants-aijpfo,aijpfo,two pieces of different cloths folded together
trash-hfhsja,hfhsja,pile of trash consisting of many objects
trash-odsipp,odsipp,pile of trash consisting of many objects
trash-sslaas,sslaas,pile of trash consisting of many objects
trash-uwyjsa,uwyjsa,pile of trash consisting of many objects
trash-wpopqw,wpopqw,pile of trash consisting of many objects
coffee_pouch-zmadza,zmadza,container+substance
coffee_pouch-fovxcx,fovxcx,container+substance
duster-uotkdf-0,uotkdf,too many vertices
bay_leaves-bipnez,bipnez,multiple leaves
shampoo-zoatjo,zoatjo,shit texture
jar-sktwfj,sktwfj,weird looking beans in jar
tube-yegktv,yegktv,what is this object?
compost-xwqsqp,xwqsqp,? I don't see the object
meatloaf-pjqnuf,pjqnuf,container+substance
peanut-zzbrkz,zzbrkz,bad object
soybean-mftpcc,mftpcc,not soybean
trail_mix-vsaout,vsaout,many different pieces of nuts stuck together
acid-jpblpa-0,jpblpa,use generic bottles instead
acid-mjxjpa-0,mjxjpa,use generic bottles instead
acid-ouylbd-0,ouylbd,use generic bottles instead
acid-oyhpnl-0,oyhpnl,use generic bottles instead
acid-pnhvaj-0,pnhvaj,use generic bottles instead
acid-wjehui-0,wjehui,use generic bottles instead
applesauce-witdld-0,witdld,missing texture
blueberry_mousse-mcvcgl-0,mcvcgl,container+substance
blanket-mibyxn-0,mibyxn,folded
blanket-senafq-0,senafq,folded
blanket-vzkmtf-0,vzkmtf,folded
buttermilk-tdqppy-0,tdqppy,bad model
ash-tyowth-0,tyowth,substance
dish_towel-emsowx-0,emsowx,folded
dish_towel-ilguvl-0,ilguvl,folded
dish_towel-rssewm-0,rssewm,folded
dish_towel-wyqhkc-0,wyqhkc,folded
dishtowel-qvzbjx-0,qvzbjx,folded
dishtowel-yobhae-0,yobhae,folded
dryer-tpqzai-0,tpqzai,bad object
cymbal-zrabyc-0,zrabyc,bad texture
engagement_ring-acpgha-0,acpgha,no texture
dutch_oven-kinatx-0,kinatx,no texture
dutch_oven-fnvivr-0,fnvivr,no texture
jewelry-vbiegx-0,vbiegx,bad texture
sheet-czdhwu-0,czdhwu,folded
mulch-dsjkjk-0,dsjkjk,substance
mulch-hsjzxd-0,hsjzxd,substance
mulch-vizwhs-0,vizwhs,substance
mulch-zccicr-0,zccicr,substance
necktie-trwaco-0,trwaco,folded
duvet-cgvbka-0,cgvbka,folded
soda-phwegy-0,phwegy,bad texture
shaker-nedagc-0,nedagc,generic shaker
shaker-lpqocs-0,lpqocs,generic shaker
shaker-bfdprt-0,bfdprt,generic shaker
shaker-aherov-0,aherov,generic shaker
toolbox-gwtghv-0,gwtghv,bad texture
towel-ubhgex-0,ubhgex,folded
towel-pingqd-0,pingqd,folded
towel-nihelo-0,nihelo,folded
towel-gnowei-0,gnowei,folded
towel-gfdper-0,gfdper,folded
wallpaper-axujrp-0,axujrp,"bad object, folded"
container_cranberry-fbcpsl-0,fbcpsl,container+substance
poop-qvefdg,qvefdg,too poopy :))
haystack-lujosc,lujosc,substance
cup-lfxtqa,lfxtqa,container+substance
cup-vlikrk,vlikrk,container+substance
cup-wbqjbt,wbqjbt,container+substance
cup-wfavfd,wfavfd,container+substance
diced__beef_roast-vrzhwc,vrzhwc,no non-diced version
toy-ciutkv,ciutkv,scaled in a very weird way
toy-gbutve,gbutve,scaled in a very weird way
toy-wqzqoy,wqzqoy,a collection of objects
toy-ywtond,ywtond,a collection of objects
sheet-ddayzw,ddayzw,folded
sheet-vhjpzt,vhjpzt,folded
sheet-wbdatw,wbdatw,folded
salad_bowl-dhdhul ,dhdhul ,a collection of objects
test_tube-iejmzf,iejmzf,duplicate
test_tube-qwtyqj,qwtyqj,duplicate
test_tube-tgodzn,tgodzn,duplicate
test_tube-vnmcfg,vnmcfg,duplicate
test_tube-ykvekt,ykvekt,duplicate
vase-dxnzuk,dxnzuk,bad object
vase-sakwru,sakwru,bad vase - no opening area & not really feasible
cleansing_bottle-nsxhvs,nsxhvs,bottle that cannot be properly opened up
plate-efkgcw,efkgcw,not an actual plate
